timestamp,filename,maze_size,seed,algorithm,generation_time_ms,ram_peak_mb,file_size_bytes,backtrack_count,edges_processed,union_find_operations
2025-09-16 19:01:40,kruskal_strict_10_96.txt,10,96,kruskal,1.32,18.01,483,0,180,601
2025-09-16 19:01:40,kruskal_strict_10_97.txt,10,97,kruskal,0.95,18.01,483,0,180,637
2025-09-16 19:01:40,kruskal_strict_10_98.txt,10,98,kruskal,2.54,18.01,483,0,180,497
2025-09-16 19:01:40,kruskal_strict_10_99.txt,10,99,kruskal,1.21,18.01,483,0,180,707
2025-09-16 19:01:40,kruskal_strict_10_100.txt,10,100,kruskal,1.97,18.01,483,0,180,620
2025-09-16 19:01:40,kruskal_strict_50_1.txt,50,1,kruskal,13.24,18.91,10403,0,4900,20651
2025-09-16 19:01:40,kruskal_strict_50_2.txt,50,2,kruskal,14.54,18.93,10403,0,4900,19941
2025-09-16 19:01:40,kruskal_strict_50_3.txt,50,3,kruskal,12.31,18.93,10403,0,4900,19726
2025-09-16 19:01:40,kruskal_strict_50_4.txt,50,4,kruskal,11.16,18.93,10403,0,4900,19092
2025-09-16 19:01:40,kruskal_strict_50_5.txt,50,5,kruskal,11.79,18.93,10403,0,4900,19513
2025-09-16 19:01:40,kruskal_strict_50_6.txt,50,6,kruskal,11.09,18.93,10403,0,4900,18294
2025-09-16 19:01:40,kruskal_strict_50_7.txt,50,7,kruskal,11.98,18.93,10403,0,4900,20684
2025-09-16 19:01:40,kruskal_strict_50_8.txt,50,8,kruskal,10.72,18.94,10403,0,4900,18515
2025-09-16 19:01:40,kruskal_strict_50_9.txt,50,9,kruskal,10.23,18.94,10403,0,4900,19764
2025-09-16 19:01:40,kruskal_strict_50_10.txt,50,10,kruskal,10.1,18.94,10403,0,4900,19655
2025-09-16 19:01:40,kruskal_strict_50_11.txt,50,11,kruskal,9.8,18.94,10403,0,4900,19449
2025-09-16 19:01:40,kruskal_strict_50_12.txt,50,12,kruskal,11.28,18.94,10403,0,4900,19702
2025-09-16 19:01:40,kruskal_strict_50_13.txt,50,13,kruskal,11.67,18.94,10403,0,4900,19301
2025-09-16 19:01:40,kruskal_strict_50_14.txt,50,14,kruskal,12.52,18.94,10403,0,4900,19374
2025-09-16 19:01:40,kruskal_strict_50_15.txt,50,15,kruskal,12.49,18.94,10403,0,4900,20167
2025-09-16 19:01:40,kruskal_strict_50_16.txt,50,16,kruskal,14.69,18.95,10403,0,4900,20581
2025-09-16 19:01:40,kruskal_strict_50_17.txt,50,17,kruskal,47.26,18.96,10403,0,4900,20906
2025-09-16 19:01:40,kruskal_strict_50_18.txt,50,18,kruskal,19.12,18.96,10403,0,4900,19993
2025-09-16 19:01:40,kruskal_strict_50_19.txt,50,19,kruskal,10.36,18.96,10403,0,4900,18494
2025-09-16 19:01:40,kruskal_strict_50_20.txt,50,20,kruskal,9.98,18.96,10403,0,4900,20050
2025-09-16 19:01:40,kruskal_strict_50_21.txt,50,21,kruskal,10.38,18.96,10403,0,4900,18435
